用户ID,连续小于5秒的次数
88_3xmpqrn8xdw5x2k,440
88_3x2dz64eexbckbk,6
88_3x286gm2d3cgnb2,18
88_3xkdathyvvf3e36,18
88_3xt9k6ejsdmg6p4,30
88_3xrm4sudvufxh7q,39
88_3xipmpe73ud56pa,64
88_3xtqwmmha9vq6py,26
88_3xjqfmg3g3a8fcg,115
88_3xjqfv3sk4j882s,26
88_3xmiv7vex4einwi,23
88_3xztizrxk2nutky,60
88_3xd7qyz8s6pnkji,24
88_3xdfvkk7xsuymxi,25
88_3xhi96zi5wsb2zw,48
88_3xdmgd497yrry7i,25
88_3xpfmwxt7csnat4,11
88_3xzx9kuk99xeyxy,15
88_3xxn5cji6h79sca,31
88_3xuwiashjvrp4w9,122
88_3x8k384bk9sgk2w,13
88_3xs24egj8m2vt6q,127
88_3xqkm2z6g3ats8e,62
88_3xs9j92tkis24dg,33
88_3x5hwasu5tc595c,59
88_3x6rsug8ia2ct9m,22
88_3xd2vsn52m6t576,39
88_3x44djrrdq2hfiy,26
88_3x673q6gurgevqq,12
88_3x25n5tp2pk2adq,22
88_3xbactx4453m2ik,10
88_3xxqm8k2x36fpka,15
88_3x3jj2zrqbtnswk,27
88_3xukzrxxgszddyg,2
88_3x5hw9hfk5dzira,3
88_3xprzn4xjgay9ug,60
88_3xcjsqd79tj7tk2,11
88_3xamfd2afhadzgw,27
88_3xv22dma5h7zraa,11
88_3xbaz6949nvzd5u,20
88_3xivbe9g2uuf56m,24
88_3xqv5fasfeeyf8m,49
88_3xxwdaukdt2dfki,43
88_3xkdmqx6r2w4xwc,18
88_3x6e5rdizsm6tkq,25
88_3xihuyuje5f5niw,19
88_3xr9b7tzevj4846,29
88_3x4gk5zkduxgxw2,14
88_3xuh35r7grbw3vc,6
88_3xdayjek3jmz73i,17
88_3x5tfxzntmcyuuk,8
88_3x26y95pqccxdv6,24
88_3xzeqg74zrfped9,27
88_3xbbsapygaxbuj2,39
88_3xefpzsdvd373fy,27
88_3x72qayeis3y269,12
88_3xed8kymwk7pmgg,2
88_3xuaae53gx2av32,29
88_3xs8tbemtcc8iw6,38
88_3xhjdv2aju37g8g,29
88_3xmzz8bhqwwkaew,18
88_3x4di3diui5q94a,14
88_3xf87rnekq2t94i,29
88_3xzs4cwefevms2e,9
88_3xuwix7vyy4swwa,14
88_3x4i5qcpmhi6xse,16
88_3xg2guktfvsb4tw,21
88_3xwinitw9miktks,10
88_3xvcfdbkpua6utm,20
88_3x4vp3z8yzep3p9,17
88_3xfjb5jqgvi4tna,13
88_3xus4b6bqmaqdim,21
88_3xsbjmqx5y3wi9u,14
88_3xygjpmta7wc6ne,15
88_3xsqkbu93fgti76,10
88_3xcgxyktqnia7nc,14
88_3xw9423695dgefm,10
88_3xwm4rwf6hdvxa4,10
88_3xsu8igwfs6c8dw,8
88_3xqywev5e9nbrbu,20
88_3xuayxzsuqjqwju,3
88_3xbu8br8jyw3ngk,16
88_3xusjkahy6zcryq,15
88_3x2heemu5fgzyh9,5
88_3xm4cz8zvwm5vva,10
88_3xd8dq29zvxei6c,14
88_3x7gk5x6xpwssrs,13
88_3xsqyak7mbeh2as,7
88_3xu8wiuztuar48m,14
88_3xsxdzhdib55nim,14
88_3xhw97xcttdfypq,9
88_3x25s9tmhium374,14
88_3xn3pc6ipxhi8zy,6
88_3xh7b92xdah7rs2,14
88_3x5fgakr4x6nai6,8
88_3xub7yz6i8559jq,10
88_3x9csb6ptjprp2a,6
88_3xvh9di4aibrpbs,6
88_3x4z4dqqp4f58gu,7
88_3x3992hgg2jq8x6,9
