author_id,author_name,日发帖量,发帖时间间隔异常（连续小于5秒的次数）,发文及评论内容相似度,是否为机器人(1是真人，0是机器人）
88_3xhycz3c4ge8qsa,用户5570666174,0,0,0,1
88_3xkr74bxxk7bvb4,小林子陪小榛鸭,0,0,0,1
88_3xu3bgp3dq72mzk,快手用户1645514819959,18,0,0.231611261,1
88_3xiabdcwqq2m6ku,请叫我晴格格,0,0,0,1
88_3xtqze2t5dd88hk,软茶.,6,0,-0.010839177,1
88_3xjvnbp5xgbvz4s,秋天的树□2,0,0,0,1
88_3xdrwsxh9bm73h4,瑞金恒邦王秀梅,0,0,0,1
88_3xh25e256xhduze,*^o^*爱婷仔*＾◎＾,0,0,0,1
88_3xvppdv5u4nb88g,杨绍宏,0,0,0,1
88_3x7z32svn7siq7w,白,0,0,0,1
88_3x95dy92ne7mbge,美羊羊,0,0,0,1
88_3xjac3gy37np3h9,User_2179375237,0,0,0,1
88_3xq8h6vzcuvb994,大悦悦,0,0,0,1
88_3xttc49wvzwwb8g,User_2621391576,0,0,0,1
88_3x6stwyg9kpu9v6,憧憬未来,0,0,0,1
88_3xm43aq63udfung,快手用户1665278961431,0,0,0,1
88_3xxuakjzb6cg68e,小池饱饱,0,0,0,1
88_3x2ivfrg6ddbpr6,花钱买享受,0,0,0,1
88_3x5vvcyrccqb4hi,嘿，逗比,0,0,0,1
88_3xwyx55j573nkjk,余生,0,0,0,1
88_3x9c2nakiuhvxe4,User_1467999607,0,0,0,1
88_3xh4q4kbkebbcea,桔子熟了吗,0,0,0,1
88_3xei3fc8twc3jhi,黄宗友,0,0,0,1
88_3xy3fb759rgpau9,萝卜哥哥。,0,0,0,1
88_3xh3h44fj2ypjva,快手用户1679657472492,0,0,0,1
88_3x754j63qqij98g,我就是我~4220,0,0,0,1
88_3xj2v3a2mvnieb4,User_1897704243,0,0,0,1
88_3x29yqh253kjh9k,总伤女人心,5,0,0.026810693,1
88_3xtphbh6rfaqu2m,宿醉,0,0,0,1
88_3xhmxbfet3kxmd2,快手用户1675648841418,0,0,0,1
88_3xwpguwqm7uc59w,??沫沫不开心??,0,0,0,1
88_3xr6mpk5623dg7s,思念是一种病0293,0,0,0,1
88_3xfpxn6yqn75jg2,小小苏,0,0,0,1
88_3xa68ajp7cvaqui,??,0,0,0,1
88_3xrgdrujh37bqq9,乐观,0,0,0,1
88_3xptceif968zk5u,叶.?,0,0,0,1
88_3xdrke2svf5yqfy,User_1280057930,0,0,0,1
88_3xx9h2hqhe53ewg,蛮牛138,0,0,0,1
88_3xs7w7m4ik29qym,王金娥867,0,0,0,1
88_3x5tpyk95kibj39,星耀,0,0,0,1
88_3xg728ajdri4y6e,WFWD,0,0,0,1
88_3x2hwutpjew5f79,User_1280046158,0,0,0,1
88_3xs9zgcia8a3kbi,叶晨尘埃,0,0,0,1
88_3x83869nqt5ay2u,放弃,0,0,0,1
88_3xm9dpy7qkb69ve,^O^,0,0,0,1
88_3x62b7zkje5u796,啊,0,0,0,1
88_3xeqq4krv73cyby,快手用户1666540994619,0,0,0,1
88_3xq2ur8f7nehvu6,教父是我儿,0,0,0,1
88_3xn4te2pc3pd9ju,游客3008,0,0,0,1
88_3xe7swcvnca5p3a,王大帅比,12,0,-0.010839177,1
88_3x9ec8s4nyh5ubu,护手霜,0,0,0,1
88_3xmmd86sg9jhim4,寻爱,0,0,0,1
88_3xmc5wku7mxdy7w,我的爱”只给你 1/1,0,0,0,1
88_3xhzci93qtr5zuy,简 愛 .,0,0,0,1
88_3xyc5tvctzkj554,单身暖爸超然,0,0,0,1
88_3x4t78ddzpxnud4,突然不想平凡,0,0,0,1
88_3x6g427qxdp7phs,User_1596713382349,0,0,0,1
88_3xdyj6faanrntae,Phoebegg-g6,0,0,0,1
88_3xavs9vaynt8u5c,浅忆‵微凉ペ199,0,0,0,1
88_3xhc7s9g8j3e6g9,机灵鬼德丽,0,0,0,1
88_3xiidy37s7qd4hg,头号可爱?,0,0,0,1
88_3xjmx8c2njtur7w,User_445333092,0,0,0,1
88_3x39v7euianm5xm,炜豪,0,0,0,1
88_3x44dennebbp4su,。：,0,0,0,1
88_3xzcu65pm84xw6i,ZHANG YIXIN,0,0,0,1
88_3xan28y9tknwcg9,杠精大队成员，一一,0,0,0,1
88_3xr85328dp9x6e2,福幸AKB9BNN2,0,0,0,1
88_3x2u7vpwikeyc84,微笑、牵强,0,0,0,1
88_3xf8sv9zf29nv6y,强人2914,0,0,0,1
88_3xi6nukudvvmy8y,lpuxbveh,0,0,0,1
88_3xjhhv2d7if2r6c,快手用户1682564981298,0,0,0,1
88_3xd4bhr5h2mqpgg,山川.,0,0,0,1
88_3xf3wukz7v5km6i,白小白,0,0,0,1
88_3xnsmg43abasjsk,快手用户1643506986478,0,0,0,1
88_3xdh7i2zdzqwtsy,优诚优品,0,0,0,1
88_3xga6zf2mne8dde,冷心人,0,0,0,1
88_3xxe6737i5haud2,开始就要结束,0,0,0,1
88_3xftsbx66fbfd7i,小悦悦9049,0,0,0,1
88_3xafm73nqe6ib3u,rtjwqkag,0,0,0,1
88_3xm5gv5dw55pgi6,小三 你别拽  我照样甩,0,0,0,1
88_3x3s5sizawmzsye,晨晨,0,0,0,1
88_3x949byzip7skf2,╯男人不狠、江山不稳、,0,0,0,1
88_3xb6bvs839td5ys,User_1973524144,0,0,0,1
88_3xsm5tr3unapr3u,思念詩雨夜,3,0,0.031454897,1
88_3x5zdahzjed3e66,?2?金瑞,0,0,0,1
88_3x2jnnxm3evqk7y,User_2747748960,0,0,0,1
88_3xaxgwk6is4g5pq,峡江155,0,0,0,1
88_3x3cavb2rmnmh8y,快手用户1676841372418,0,0,0,1
