author_id,日发帖量,发帖时间间隔异常（连续小于5秒的次数）,发文及评论内容相似度,是否为机器人(1是真人，0是机器人）
1,0,0,0,1
2,0,0,0,1
3,18,0,0.231611261,1
4,0,0,0,1
5,6,0,-0.010839177,1
6,0,0,0,1
7,0,0,0,1
8,0,0,0,1
9,0,0,0,1
10,0,0,0,1
11,0,0,0,1
12,0,0,0,1
13,0,0,0,1
14,0,0,0,1
15,0,0,0,1
16,0,0,0,1
17,0,0,0,1
18,0,0,0,1
19,0,0,0,1
20,0,0,0,1
21,0,0,0,1
22,0,0,0,1
23,0,0,0,1
24,0,0,0,1
25,0,0,0,1
26,0,0,0,1
27,0,0,0,1
28,5,0,0.026810693,1
29,0,0,0,1
30,0,0,0,1
31,0,0,0,1
32,0,0,0,1
33,0,0,0,1
34,0,0,0,1
35,0,0,0,1
36,0,0,0,1
37,0,0,0,1
38,0,0,0,1
39,0,0,0,1
40,0,0,0,1
41,0,0,0,1
42,0,0,0,1
43,0,0,0,1
44,0,0,0,1
45,0,0,0,1
46,0,0,0,1
47,0,0,0,1
48,0,0,0,1
49,0,0,0,1
50,12,0,-0.010839177,1
51,0,0,0,1
52,0,0,0,1
53,0,0,0,1
54,0,0,0,1
55,0,0,0,1
56,0,0,0,1
57,0,0,0,1
58,0,0,0,1
59,0,0,0,1
60,0,0,0,1
61,0,0,0,1
62,0,0,0,1
63,0,0,0,1
64,0,0,0,1
65,0,0,0,1
66,0,0,0,1
67,0,0,0,1
68,0,0,0,1
69,0,0,0,1
70,0,0,0,1
71,0,0,0,1
72,0,0,0,1
73,0,0,0,1
74,0,0,0,1
75,0,0,0,1
76,0,0,0,1
77,0,0,0,1
78,0,0,0,1
79,0,0,0,1
80,0,0,0,1
81,0,0,0,1
82,0,0,0,1
83,0,0,0,1
84,3,0,0.031454897,1
85,0,0,0,1
86,0,0,0,1
87,0,0,0,1
88,0,0,0,1
89,0,0,0,1
90,0,0,0,1
91,0,0,0,1
92,0,0,0,1
93,0,0,0,1
94,0,0,0,1
95,0,0,0,1
96,0,0,0,1
97,0,0,0,1
98,0,0,0,1
99,0,0,0,1
100,0,0,0,1
101,0,0,0,1
102,0,0,0,1
103,0,0,0,1
104,14,0,-0.02401119,1
105,0,0,0,1
106,0,0,0,1
107,0,0,0,1
108,0,0,0,1
109,0,0,0,1
110,0,0,0,1
111,0,0,0,1
112,0,0,0,1
113,0,0,0,1
114,0,0,0,1
115,0,0,0,1
116,0,0,0,1
117,0,0,0,1
118,0,0,0,1
119,0,0,0,1
120,0,0,0,1
121,0,0,0,1
122,0,0,0,1
123,0,0,0,1
124,0,0,0,1
125,0,0,0,1
126,0,0,0,1
127,0,0,0,1
128,0,0,0,1
129,1,0,0.227177433,1
130,0,0,0,1
131,8,0,0,1
132,0,0,0,1
133,0,0,0,1
134,0,0,0,1
135,0,0,0,1
136,0,0,0,1
137,0,0,0,1
138,0,0,0,1
139,0,0,0,1
140,0,0,0,1
141,0,0,0,1
142,0,0,0,1
143,0,0,0,1
144,9,0,-0.010839177,1
145,0,0,0,1
146,0,0,0,1
147,0,0,0,1
148,1,0,0.17683797,1
149,0,0,0,1
150,0,0,0,1
151,0,0,0,1
152,0,0,0,1
153,0,0,0,1
154,0,0,0,1
155,0,0,0,1
156,0,0,0,1
157,0,0,0,1
158,0,0,0,1
159,0,0,0,1
160,0,0,0,1
161,0,0,0,1
162,0,0,0,1
163,0,0,0,1
164,0,0,0,1
165,0,0,0,1
166,0,0,0,1
167,0,0,0,1
168,0,0,0,1
169,0,0,0,1
170,0,0,0,1
171,4,0,0.062589984,1
172,0,0,0,1
173,0,0,0,1
174,0,0,0,1
175,0,0,0,1
176,0,0,0,1
177,0,0,0,1
178,0,0,0,1
179,0,0,0,1
180,0,0,0,1
181,0,0,0,1
182,0,0,0,1
183,0,0,0,1
184,0,0,0,1
185,0,0,0,1
186,0,0,0,1
187,0,0,0,1
188,0,0,0,1
189,0,0,0,1
190,0,0,0,1
191,6,1,0.228285595,1
192,1,0,0.02070732,1
193,0,0,0,1
194,0,0,0,1
195,0,0,0,1
196,1,0,0.015664794,1
197,0,0,0,1
198,0,0,0,1
199,0,0,0,1
200,0,0,0,1
201,593,440,0.016148785,0
202,541,6,0.228285595,0
203,507,18,0.381723189,0
204,477,18,-0.010839177,0
205,471,30,-0.010839177,0
206,471,39,0.228285595,0
207,460,64,0.228285595,0
208,420,26,-0.02401119,0
209,406,115,0.162172658,0
210,403,26,-0.023671661,0
211,398,23,-0.02401119,0
212,371,60,-0.010839177,0
213,364,24,0.228285595,0
214,360,25,0.228285595,0
215,342,48,0.162172658,0
216,325,25,-0.010839177,0
217,316,11,0.228285595,0
218,302,15,0.046654695,0
219,301,31,0.381723189,0
220,292,122,-0.02401119,0
221,285,13,-0.010839177,0
222,267,127,1,0
223,257,62,0.162172658,0
224,254,33,1,0
225,253,59,0.17683797,0
226,241,22,-0.010839177,0
227,233,39,0.122276119,0
228,232,26,0.162172658,0
229,231,12,0.228285595,0
230,231,22,0.228285595,0
231,227,10,0.162172658,0
232,220,15,0.381723189,0
233,220,27,-0.02401119,0
234,216,2,0.228285595,0
235,201,3,0.191570107,0
236,196,60,0.141659416,0
237,194,11,-0.010839177,0
238,194,27,-0.010839177,0
239,191,11,-0.010839177,0
240,191,20,-0.010839177,0
241,179,24,0.228285595,0
242,177,49,0.251670878,0
243,176,43,0.228285595,0
244,172,18,0.228285595,0
245,162,25,-0.010839177,0
246,153,19,-0.010839177,0
247,152,29,-0.028952527,0
248,151,14,-0.010839177,0
249,148,6,-0.010839177,0
250,146,17,-0.010839177,0
251,145,8,0.228285595,0
252,133,24,1,0
253,129,27,-0.010839177,0
254,128,39,-0.010839177,0
255,126,27,0.006635415,0
256,109,12,-0.010839177,0
257,108,2,0.040691281,0
258,104,29,-0.010839177,0
259,103,38,-0.010839177,0
260,101,29,0.005250371,0
261,100,18,-0.010839177,0
262,98,14,-0.028952527,0
263,93,29,0.01520633,0
264,83,9,0.228285595,0
265,71,14,0.024928158,0
266,70,16,-0.010839177,0
267,69,21,-0.010839177,0
268,66,10,-0.010839177,0
269,63,20,-0.010839177,0
270,59,17,-0.010839177,0
271,58,13,-0.010839177,0
272,57,21,-0.010839177,0
273,57,14,-0.02401119,0
274,54,15,-0.010839177,0
275,53,10,-0.028952527,0
276,53,14,-0.010839177,0
277,52,10,-0.010839177,0
278,49,10,1,0
279,46,8,-0.010839177,0
280,46,20,-0.010839177,0
281,45,3,0.39257015,0
282,45,16,0.39257015,0
283,44,15,-0.010839177,0
284,42,5,0.018366874,0
285,38,10,0.051867499,0
286,37,14,0.228285595,0
287,32,13,-0.010839177,0
288,31,7,0.141659416,0
289,30,14,0.022020857,0
290,28,14,0.228285595,0
291,25,9,-0.010839177,0
292,22,14,0.018366874,0
293,21,6,0.203546846,0
294,21,14,1,0
295,19,8,-0.010839177,0
296,16,10,0.167081324,0
