author_id,日发帖量,发帖时间间隔异常（连续小于5秒的次数）,发文及评论内容相似度,凌晨0点到2点和晚上10点到12点占总量比,是否为机器人(1是真人，0是机器人）
1,0,0,0,0,1
2,0,0,0,0,1
3,0,0,0,0,1
4,0,0,0,0,1
5,0,0,0,0,1
6,3,0,-0.010839177,0,1
7,0,0,0,0,1
8,0,0,0,0,1
9,0,0,0,0,1
10,0,0,0,0,1
11,0,0,0,0,1
12,1,0,0,0,1
13,0,0,0,0,1
14,0,0,0,0,1
15,0,0,0,0,1
16,0,0,0,0,1
17,1,0,0.025412581,0,1
18,0,0,0,0,1
19,0,0,0,0,1
20,13,0,-0.028952527,0,1
21,0,0,0,0,1
22,0,0,0,0,1
23,0,0,0,0,1
24,0,0,0,0,1
25,0,0,0,0,1
26,0,0,0,0,1
27,0,0,0,0,1
28,0,0,0,0,1
29,0,0,0,0,1
30,0,0,0,0,1
31,0,0,0,0,1
32,1,0,1,1,1
33,97,20,-0.028952527,0.12371134,1
34,0,0,0,0,1
35,0,0,0,0,1
36,0,0,0,0,1
37,0,0,0,0,1
38,0,0,0,0,1
39,16,0,0.018366874,0.25,1
40,0,0,0,0,1
41,65,0,-0.02401119,0,1
42,0,0,0,0,1
43,24,0,0.162172658,0.333333333,1
44,0,0,0,0,1
45,0,0,0,0,1
46,0,0,0,0,1
47,7,0,-0.028952527,0,1
48,0,0,0,0,1
49,0,0,0,0,1
50,0,0,0,0,1
51,0,0,0,0,1
52,0,0,0,0,1
53,0,0,0,0,1
54,0,0,0,0,1
55,0,0,0,0,1
56,0,0,0,0,1
57,0,0,0,0,1
58,24,0,0,0,1
59,0,0,0,0,1
60,0,0,0,0,1
61,0,0,0,0,1
62,0,0,0,0,1
63,0,0,0,0,1
64,1,0,0.003296653,0,1
65,0,0,0,0,1
66,0,0,0,0,1
67,5,0,0.097045194,0,1
68,0,0,0,0,1
69,0,0,0,0,1
70,0,0,0,0,1
71,0,0,0,0,1
72,0,0,0,0,1
73,0,0,0,0,1
74,3,0,0.035909536,0,1
75,0,0,0,0,1
76,0,0,0,0,1
77,0,0,0,0,1
78,0,0,0,0,1
79,0,0,0,0,1
80,1,0,0.046654695,0,1
81,0,0,0,0,1
82,0,0,0,0,1
83,0,0,0,0,1
84,0,0,0,0,1
85,0,0,0,0,1
86,0,0,0,0,1
87,0,0,0,0,1
88,0,0,0,0,1
89,0,0,0,0,1
90,0,0,0,0,1
91,0,0,0,0,1
92,0,0,0,0,1
93,0,0,0,0,1
94,0,0,0,0,1
95,1,0,0.058239159,1,1
96,0,0,0,0,1
97,0,0,0,0,1
98,8,0,0.170597761,0,1
99,0,0,0,0,1
100,0,0,0,0,1
101,40,0,0.008630541,0.575,1
102,0,0,0,0,1
103,0,0,0,0,1
104,0,0,0,0,1
105,0,0,0,0,1
106,0,0,0,0,1
107,0,0,0,0,1
108,2,0,0.016148785,0.5,1
109,0,0,0,0,1
110,0,0,0,0,1
111,0,0,0,0,1
112,6,0,0.121573502,0.166666667,1
113,0,0,0,0,1
114,0,0,0,0,1
115,0,0,0,0,1
116,0,0,0,0,1
117,0,0,0,0,1
118,0,0,0,0,1
119,0,0,0,0,1
120,0,0,0,0,1
121,0,0,0,0,1
122,0,0,0,0,1
123,0,0,0,0,1
124,0,0,0,0,1
125,0,0,0,0,1
126,0,0,0,0,1
127,0,0,0,0,1
128,0,0,0,0,1
129,255,1,0.17683797,0,1
130,4,0,0.228285595,0,1
131,0,0,0,0,1
132,0,0,0,0,1
133,15,0,0.326107215,0,1
134,0,0,0,0,1
135,0,0,0,0,1
136,0,0,0,0,1
137,0,0,0,0,1
138,0,0,0,0,1
139,0,0,0,0,1
140,0,0,0,0,1
141,57,1,0.192698255,0,1
142,0,0,0,0,1
143,0,0,0,0,1
144,0,0,0,0,1
145,0,0,0,0,1
146,0,0,0,0,1
147,0,0,0,0,1
148,0,0,0,0,1
149,0,0,0,0,1
150,19,0,0.031454897,0.315789474,1
151,0,0,0,0,1
152,0,0,0,0,1
153,0,0,0,0,1
154,0,0,0,0,1
155,0,0,0,0,1
156,0,0,0,0,1
157,3,0,0.17683797,0.666666667,1
158,1,0,-0.028952527,0,1
159,0,0,0,0,1
160,0,0,0,0,1
161,0,0,0,0,1
162,0,0,0,0,1
163,0,0,0,0,1
164,0,0,0,0,1
165,5,0,0.029545056,0.2,1
166,0,0,0,0,1
167,0,0,0,0,1
168,0,0,0,0,1
169,0,0,0,0,1
170,2,0,0.050912282,0,1
171,0,0,0,0,1
172,0,0,0,0,1
173,2,0,0.055046847,0,1
174,0,0,0,0,1
175,0,0,0,0,1
176,0,0,0,0,1
177,8,0,0.067130578,0.625,1
178,0,0,0,0,1
179,0,0,0,0,1
180,0,0,0,0,1
181,0,0,0,0,1
182,0,0,0,0,1
183,0,0,0,0,1
184,0,0,0,0,1
185,0,0,0,0,1
186,0,0,0,0,1
187,0,0,0,0,1
188,0,0,0,0,1
189,0,0,0,0,1
190,0,0,0,0,1
191,0,0,0,0,1
192,0,0,0,0,1
193,2,0,-0.028952527,1,1
194,0,0,0,0,1
195,0,0,0,0,1
196,0,0,0,0,1
197,0,0,0,0,1
198,0,0,0,0,1
199,3,0,0,0,1
200,0,0,0,0,1
201,3377,37,0.162172658,0.316849275,0
202,2978,25,0.381723189,0.159838818,0
203,2855,149,0.228285595,0.551313485,0
204,2811,63,0.228285595,0.212735681,0
205,2658,144,0.159580544,0.115124153,0
206,2558,117,0.228285595,0.333854574,0
207,2433,76,0.162172658,0.038224414,0
208,2386,10,0.273680557,0.37007544,0
209,2383,30,0.066228499,0.295006295,0
210,2200,29,-0.010839177,0.474090909,0
211,2063,17,0.381723189,0.274842462,0
212,1966,35,-0.010839177,0.378433367,0
213,1882,4,0.115300931,0.051540914,0
214,1787,22,0.381723189,0.104085059,0
215,1786,36,-0.004174272,0.830907055,0
216,1716,30,-0.010839177,0.35955711,0
217,1597,26,0.142298221,0.110206637,0
218,1596,30,0.141659416,0.213659148,0
219,1588,25,0.228285595,0.481738035,0
220,1501,43,0.228285595,0.061958694,0
221,1444,17,0.228285595,0.183518006,0
222,1436,27,0.141659416,0.46448468,0
223,1377,59,0.251670878,0.021786492,0
224,1324,53,0.016148785,0.570996979,0
225,1298,19,0.228285595,0.214175655,0
226,1114,28,0.228285595,0.166068223,0
227,985,23,-0.010839177,0.830456853,0
228,926,55,0.228285595,0.18574514,0
229,897,32,-0.010839177,0.209587514,0
230,840,67,0.167081324,0.497619048,0
231,830,20,-0.002709647,0.059036145,0
232,793,17,0.158807073,0.070617907,0
233,728,32,0.228285595,0.071428571,0
234,695,47,-0.010839177,0.256115108,0
235,680,26,-0.010839177,0.795588235,0
236,659,13,-0.028952527,0.28983308,0
237,638,60,-0.010839177,0.595611285,0
238,606,21,0.018366874,0.095709571,0
239,544,2,-0.028952527,0.351102941,0
240,533,3,-0.010839177,0.189493433,0
241,504,38,0.141659416,0.452380952,0
242,480,34,0.018366874,0.208333333,0
243,476,53,-0.010839177,0.682773109,0
244,434,40,0.042028108,0.995391705,0
245,319,15,0.016767428,0.200626959,0
246,317,25,0.03738011,0.201892744,0
247,299,16,0.228285595,0.096989967,0
248,266,20,1,0.161654135,0
249,257,6,0.023888262,0.299610895,0
250,248,2,0.018366874,0.076612903,0
251,221,33,-0.010839177,0.746606335,0
252,216,14,1,0.592592593,0
253,215,5,0.04902779,0.330232558,0
254,214,32,1,0.056074766,0
255,190,0,1,0.263157895,0
256,174,13,0.201760541,0.166666667,0
257,172,13,0.050471496,0.11627907,0
258,169,6,0.228285595,0.047337278,0
259,159,2,-0.028952527,0,0
260,156,14,0.309893843,0.358974359,0
261,153,1,-0.02401119,0.718954248,0
262,144,19,0.021177078,0.854166667,0
263,138,2,-0.010839177,0.210144928,0
264,136,5,0.141659416,0.117647059,0
265,133,38,1,0.947368421,0
266,133,15,-0.02401119,0.751879699,0
267,130,1,1,0.238461538,0
268,125,1,0.016148785,0.256,0
269,116,4,-0.02401119,0.396551724,0
270,114,0,0.028540108,0.096491228,0
271,110,2,0.381723189,0.263636364,0
272,110,2,0.012186918,0.063636364,0
273,98,5,-0.010839177,0.357142857,0
274,96,3,0.273680557,0.395833333,0
275,85,0,-0.028952527,0.211764706,0
276,81,0,0.04902779,0.209876543,0
277,70,0,0.028630131,0.514285714,0
278,63,0,0.050471496,0.428571429,0
279,61,16,-0.010839177,0.852459016,0
280,53,3,-0.004174272,0.358490566,0
281,48,20,1,0.020833333,0
282,40,0,0.050376694,0.75,0
283,39,4,0.012092559,0.102564103,0
284,37,0,1,0.189189189,0
285,36,0,0.037129106,0.361111111,0
286,31,0,0.079945105,0.548387097,0
287,24,1,0.045703916,0.416666667,0
288,20,1,-0.010839177,0,0
289,12,0,0.009480422,0.416666667,0
290,8,0,1,0,0
