用户ID,用户名,评论内容,时间戳,时间间隔（秒）
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面手下败将,2023-06-24 23:58:02
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面怎么,2023-06-24 23:58:02,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面没实力,2023-06-24 23:58:02,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面支支吾吾,2023-06-24 23:58:02,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面怎么老是用老掉牙的词汇,2023-06-24 23:58:01,-1.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面跟上我,2023-06-24 23:58:01,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面为什呢妄想打败我,2023-06-24 23:58:01,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面我属实看不起你,2023-06-24 23:58:01,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面何必苦苦支撑,2023-06-24 23:58:01,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面这个绊脚石闭麦吧,2023-06-24 23:58:01,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面出来反驳你祖师爷,2023-06-24 23:58:00,-1.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面沉默是金,2023-06-24 23:58:00,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面反反复复,2023-06-24 23:58:00,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面唯唯诺诺,2023-06-24 23:58:00,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面别玩掉线,2023-06-24 23:58:00,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面回复我,2023-06-24 23:58:00,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面嘻嘻哈哈,2023-06-24 23:58:00,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面你这个怎么了。,2023-06-24 23:57:59,-1.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面招笑,2023-06-24 23:57:59,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面要不你拜我吧,2023-06-24 23:57:59,0.0
